state,branch_pin_code
ARNI ,442201
ARVI ,442201
CHANDUR BAZAR ,444906
CHANDUR RAILWAY ,444904
SELOO ,442104
DEOLI ,442101
PANDARKAWADA ,445302
SAMUDRAPUR ,442305
WANI ,445304
SANTRAMPUR,389260
FATEHPURA,389172
SANJELI,389275
UDALPUR,388710
SHAHERA,389210
MORVA,389115
BODELI,391135
DEVGHARD BARIA,389380
GODHRA,389001
PIPLOAD,389130
LIMKHEDA,389140
LEEMDI,389180
CHHOTA UDEPUR,391165
DEESA,385535
PALANPUR,385001
MAHESANA,384002
PRANTIZ,383205
DIYODAR,385330
VADALI,383432
KHERALU,384325
VIJAPUR,382870
KAPADWANJ,387620
KUHA,382433
BALASINOR,388255
NARODA,382345
DEHGAM,382305
MEMDAVAD,387130
UMRETH,388220
DHOLKA,387810
Tirupati SFB,517501
Arani SFB,632301
Ranipet SFB,632401
MADANAPALLE SFB,517325
Vellore SFB,632001
CHITTOOR SFB,517002
Gudiyatham SFB,632602
KORMANGALA SFB,560034
SARJAPUR SFB,560035
BASAVANGUDI SFB,560004
Bellandur,560103
THIRUVALUR SFB,602001
ARAKONAM SFB,631001
MYLAPORE SFB,600004
THIRUVANNAMALAI SFB,606604
KANCHIPURAM SFB,631501
SRIPERUMBUDUR SFB,602105
COIMBATORE SFB,641002
TIRUCHIRAPPALLI SFB,620001
PONDICHERRY SFB,605001
THANJAVUR SFB,613006
Mysore SFB,570009
COIMBATORE SFB,641002
ERODE SFB,638011
SALEM SFB,636016
Mehsana Branch,384001
Nadiad,387001
LAW GARDEN,380006
JAMNAGAR,361001
jodhpur,342001
ADAJAN,395007
malviya nagar,110017
Kota,324007
ALKAPURI,390007
V V NAGAR – SFB,388120
KARELIBAUG,390018
INDORE SFB,452014
UDAIPUR,313001
PRAHLAD NAGAR,380015
ANAND BRANCH,388001
BHARUCH,392001
NAVSARI,396445
Nashik,422002
CHANDKHEDA (SFB),382424
Rajkot,360004
Jaipur,302021
GURUGRAM SECTOR 15,122001
JUNAGADH,362001
GURUGRAM SECTOR 10,122001
Himmatnagar,383001
kalol,382721
BORSAD,388540
NAGPUR SFB,440010
Haryana,122003
